"speaker","speaker_title","topic","talk_summary","speaker_bio","talk_url","speaker_twitter","speaker_ted_url","posted","tags"
"Adam Galinsky","Social psychologist","How to speak up for yourself","Speaking up is hard to do, even when you know you should. Learn how to assert yourself, navigate tricky social situations and expand your personal power with sage guidance from social psychologist Adam Galinsky.","Adam Galinsky teaches people all over the world how to inspire others, speak up effectively, lead teams and negotiate successfully.","https://ted.com/talks/adam_galinsky_how_to_speak_up_for_yourself","https://twitter.com/adamgalinsky","https://ted.com/speakers/adam_galinsky","Nov 2016","Inspiring, Informative"
"Juan Enriquez","Futurist","What will humans look like in 100 years?","We can evolve bacteria, plants and animals — futurist Juan Enriquez asks: Is it ethical to evolve the human body? In a visionary talk that ranges from medieval prosthetics to present day neuroengineering and genetics, Enriquez sorts out the ethics associated with evolving humans and imagines the ways we'll have to transform our own bodies if we hope to explore and live in places other than Earth.","Juan Enriquez thinks and writes about the profound changes that genomics and other life sciences will bring in business, technology, politics and society.","https://ted.com/talks/juan_enriquez_what_will_humans_look_like_in_100_years","https://twitter.com/EvolvingJuan","https://ted.com/speakers/juan_enriquez","Nov 2016","Fascinating, Informative"
"Sandi Toksvig","Broadcast personality, politician, author","A political party for women's equality","Women's equality won't just happen — not unless more women are put in positions of power, says Sandi Toksvig. In a disarmingly hilarious talk, Toksvig tells the story of how she helped start a new political party in Britain, the Women's Equality Party, with the express purpose of putting equality on the ballot. Now she hopes people around the world will copy her party's model and mobilize for equality.","Long revered in the UK for her wit and candor, Sandi Toksvig is now lending her familiar voice to a greater cause — equality for women.","https://ted.com/talks/sandi_toksvig_a_political_party_for_women_s_equality","https://twitter.com/sanditoksvig","https://ted.com/speakers/sandi_toksvig","Nov 2016","Inspiring, Funny"
"Roger Antonsen","Logician, mathematician, computer scientist","Math is the hidden secret to understanding the world","Unlock the mysteries and inner workings of the world through one of the most imaginative art forms ever — mathematics — with Roger Antonsen, as he explains how a slight change in perspective can reveal patterns, numbers and formulas as the gateways to empathy and understanding.","Roger Antonsen combines science, mathematics and computer science with entertainment, philosophy and visualizations.","https://ted.com/talks/roger_antonsen_math_is_the_hidden_secret_to_understanding_the_world","https://twitter.com/rantonse/","https://ted.com/speakers/roger_antonsen","Nov 2016","Fascinating, Inspiring"
"Victor Rios","Educator, author","Help for kids the education system ignores","Define students by what they contribute, not what they lack — especially those with difficult upbringings, says educator Victor Rios. Interweaved with his personal tale of perseverance as an inner-city youth, Rios identifies three straightforward strategies to shift attitudes in education and calls for fellow educators to see ""at-risk"" students as ""at-promise"" individuals brimming with resilience, character and grit.","Victor Rios seeks to uncover how to best support the lives of young people who experience poverty, stigma and social exclusion. ","https://ted.com/talks/victor_rios_help_for_kids_the_education_system_ignores","https://twitter.com/drvictorrios","https://ted.com/speakers/victor_rios","Nov 2016","Inspiring, Courageous"
"Steven Johnson","Writer","How music led to the invention of modern computers","Necessity is the mother of invention, right? Well, not always. Steven Johnson shows us how some of the most transformative ideas and technologies, like the computer, didn't emerge out of necessity at all but instead from the strange delight of play. Share this captivating, illustrated exploration of the history of invention. Turns out, you'll find the future wherever people are having the most fun.","Steven Berlin Johnson examines the intersection of science, technology and personal experience.","https://ted.com/talks/steven_johnson_how_play_leads_to_great_inventions","https://twitter.com/stevenbjohnson","https://ted.com/speakers/steven_johnson","Nov 2016","Informative, Fascinating"
"Bettina Warburg","Blockchain entrepreneur and researcher","How the blockchain will radically transform the economy","Say hello to the decentralized economy — the blockchain is about to change everything. In this lucid explainer of the complex (and confusing) technology, Bettina Warburg describes how the blockchain will eliminate the need for centralized institutions like banks or governments to facilitate trade, evolving age-old models of commerce and finance into something far more interesting: a distributed, transparent, autonomous system for exchanging value.","Bettina Warburg is a blockchain researcher, entrepreneur and educator. A political scientist by training, she has a deep passion for the intersection of politics and technology.","https://ted.com/talks/bettina_warburg_how_the_blockchain_will_radically_transform_the_economy","https://twitter.com/bwarburg","https://ted.com/speakers/bettina_warburg","Nov 2016","Informative, Inspiring"
"Kimberlé Crenshaw and Abby Dobson","Civil rights advocate","The urgency of intersectionality","Now more than ever, it's important to look boldly at the reality of race and gender bias — and understand how the two can combine to create even more harm. Kimberlé Crenshaw uses the term ""intersectionality"" to describe this phenomenon; as she says, if you're standing in the path of multiple forms of exclusion, you're likely to get hit by both. In this moving talk, she calls on us to bear witness to this reality and speak up for victims of prejudice.","As a pioneer in critical race theory, Kimberlé Crenshaw helped open the discussion of the double bind faced by victims of simultaneous racial and gender prejudice.","https://ted.com/talks/kimberle_crenshaw_the_urgency_of_intersectionality","https://twitter.com/sandylocks","https://ted.com/speakers/kimberle_crenshaw","Nov 2016","Inspiring, Informative"
"Hector Garcia","Psychologist","We train soldiers for war. Let's train them to come home, too","Before soldiers are sent into combat, they're trained on how to function in an immensely dangerous environment. But they also need training on how to return from the battlefield to civilian life, says psychologist Hector Garcia. Applying the same principles used to prepare soldiers for war, Garcia is helping veterans suffering from PTSD get their lives back.","Hector A. Garcia has spent his career as a frontline psychologist delivering evidence-based psychotherapies to veterans with posttraumatic stress disorder (PTSD).","https://ted.com/talks/hector_garcia_we_train_soldiers_for_war_let_s_train_them_to_come_home_too","not available","https://ted.com/speakers/hector_garcia","Nov 2016","Inspiring, Informative"
"Fawn Qiu","Technologist","Easy DIY projects for kid engineers","TED Resident Fawn Qiu designs fun, low-cost projects that use familiar materials like paper and fabric to introduce engineering to kids. In this quick, clever talk, she shares how nontraditional workshops like hers can change the perception of technology and inspire students to participate in creating it.","Fawn Qiu is a multi-disciplinary technologist who introduces the creative side of engineering through playful projects.","https://ted.com/talks/fawn_qiu_easy_diy_projects_for_kid_engineers","not available","https://ted.com/speakers/fawn_qiu","Nov 2016","Inspiring, Funny"
